skill_name,skill_rating,skill_reviews,skill_link,skill_description
None,No Rating,,https://www.amazon.com/Max-Minds-LLC-EverAfterTM/dp/B07NZ3MPQ1/ref=sr_1_2360?dchild=1&qid=1624660823&s=alexa-skills&sr=1-2360,
None,No Rating,,https://www.amazon.com/Jonathan-Kristinas-compliments/dp/B0834L6KRV/ref=sr_1_1437?dchild=1&qid=1624660724&s=alexa-skills&sr=1-1437,
None,No Rating,,https://www.amazon.com/injihada-talking-baby/dp/B08L57X9HC/ref=sr_1_601?dchild=1&qid=1624660632&s=alexa-skills&sr=1-601,
None,No Rating,,https://www.amazon.com/For-Jack-Jill-Calm-Now/dp/B07641PP42/ref=sr_1_3636?dchild=1&qid=1624660961&s=alexa-skills&sr=1-3636,
None,No Rating,,https://www.amazon.com/Karthick-Arun-Guru-Relaxing-Therapy/dp/B078QBYPWG/ref=sr_1_3427?dchild=1&qid=1624660939&s=alexa-skills&sr=1-3427,
None,No Rating,,https://www.amazon.com/Ben-Taylor-Good-Excuse/dp/B08927NMG7/ref=sr_1_924?dchild=1&qid=1624660668&s=alexa-skills&sr=1-924,
None,No Rating,,https://www.amazon.com/SayKid-Setting-Expectations-Robot-Rules/dp/B084WLMC1J/ref=sr_1_1225?dchild=1&qid=1624660702&s=alexa-skills&sr=1-1225,
None,No Rating,,https://www.amazon.com/Aniket-Yadav-AgriSell-Doubles-Trouble/dp/B0889XRZYZ/ref=sr_1_980?dchild=1&qid=1624660675&s=alexa-skills&sr=1-980,
None,No Rating,,https://www.amazon.com/2AJT2QT-Moms-rhubarb-pie/dp/B088FJJDBW/ref=sr_1_963?dchild=1&qid=1624660673&s=alexa-skills&sr=1-963,
None,No Rating,,https://www.amazon.com/MaMa-Cheeks-Lets-Get-It/dp/B089WDC74Q/ref=sr_1_872?dchild=1&qid=1624660663&s=alexa-skills&sr=1-872,
None,No Rating,,https://www.amazon.com/Chloe-Lily-Rose-Lilys-Compliments/dp/B08XXGHY4N/ref=sr_1_314?dchild=1&qid=1624660599&s=alexa-skills&sr=1-314,
None,No Rating,,https://www.amazon.com/Arianna-Valentines-Greeting/dp/B08B2FJZ3L/ref=sr_1_857?dchild=1&qid=1624660661&s=alexa-skills&sr=1-857,
None,No Rating,,https://www.amazon.com/Luis-Mothers-Day-Card/dp/B088FCRLB9/ref=sr_1_967?dchild=1&qid=1624660673&s=alexa-skills&sr=1-967,
None,No Rating,,https://www.amazon.com/BOOM-Integrated-Mood-Magic/dp/B087YLWC6W/ref=sr_1_1006?dchild=1&qid=1624660677&s=alexa-skills&sr=1-1006,
None,No Rating,,https://www.amazon.com/LaNarvis-Rogers-Valentines-Greeting/dp/B084TKSMBX/ref=sr_1_1237?dchild=1&qid=1624660703&s=alexa-skills&sr=1-1237,
